content,Sentiment
gais ada yg tau legal streaming kkn desa penari luwih dowo ga? Yg di ntflx sm dsny yg 2jam aja soalnya tia 💚,positive
"Baru lepas tgok KKN Desa Penari dekat Disney Hotstar.. best la cerita dia.

Memang ada pengajaran.",positive
"@moviemenfes Buat netizen yg pinter, tolak ukur film bagus itu bukan dari jumlah penonton ya. Tp honest review dari beberapa orang. Termasuk beberapa web atau aplikasi yg ngereview film. Klo tolak ukurnya jumlah penonton berarti KKN Desa Penari lebih bagus dong dibanding antman?",positive
"KKN Di Desa Penari (2022) 7/10
Saya bkn termasuk 10 jt org yg nonton film ini thn lalu. Baru nonton barusan ini. Filmnya menurutku lebih bagus dr film horor rata2 Indo. Setidaknya filmnya gak kaku2 amat. Tp durasi film ini agak trll panjang. Jd sedikit boring walau msh watchable https://t.co/0fIeW6Laf9",negative
tak paham ah tengok KKN Desa Penari ni. tak taulah apa yang best,positive
"MD Pictures, founded by Indian-origin Manoj and Dhamoo Punjabi, has been on a tear since releasing the horror flick KKN di Desa Penari—Indonesia's highest-grossing film.

The company is now doubling down on its success formula: using crowd-sourced IP to land audience hits. https://t.co/DPp9QF8w4C",positive
@ajengelfzen @bluesparkle412 @nct_menfess Dreamies: main wahana kkn desa penari,positive
"Few minutes of SEWU DINO sneak peek at the end of the extended version of KKN Di Desa Penari is definitely way better than three hours of dragging, boring + senseless ‘Luwih Dowo Luwih Medeni’.

It just spoils the previous experience of watching the two hours theatrical version https://t.co/DGSImMW8A0",negative
@dekarastore tidak dipotong kaya kkn di desa penari uncut version🙏🏻,negative
"Perkara dream main ke rumah hantu kkn desa penari, jaehyun ketemu rafatar, NCT djj makan sate, NCT ke indo mah kek pulang kampung yak🥲",positive
"Indonesia's highest grossing film in history, ""KKN di Desa Penari"" (2022) had the potential to be a good horror flick. Sadly, it ended up as an overly long, dragging &amp; frustrating film with bloated &amp; clichéd writing &amp; lackluster direction.
Such a disappointment. 
#KKNdiDesaPenari https://t.co/I2sPYRnxi8",negative
@tanyakanrl NONTON KKN DESA PENARI. inget bgt sebelum covid tadinya itu film mau tayang bulan maret'20 klo ga salah. Eh gajadi. Dan akhirnya di tayang di tahun² berikutnya keburu the end :(,negative
@ipb_menfess KKN DESA PENARI:) BIAR GA ADA TUH DRAMA-DRAMA BEGITUAN YABG NGARUH KE NAMA KAMPUS,positive
@bubukhiloo HAHAHA BISA BISANYA😭 Jadi inget aku bikin au kkn desa penari aku bikin kyle jadi bima alias yang jadi korban😞,positive
"💫 BERBAGAI SKINCARE YANG BAGUS TAPI UNDERRATED 💫

~ Sebuah Utas ~

JISOO INTO THE WILD • KKN Di Desa Penari • Bekasi • iPhone • Agustus • #JUNGKOOKDAY https://t.co/gLk315pT9r",positive
"Terus berujung scroll arsip story ig, flashback setaun lalu aku tuh kayak apa sih dulunya, mulai lupa hahaha.

Ternyata dulu cuma mbak² biasa yang ikut nge war tiket nonton kkn desa penari cuma buat nyari scene senam lansia dan posyandu yg ternyata gaada 🤣",positive
Baru nemu link kkn di desa penari yg versi full nya https://t.co/U0Qx7AGwCF,positive
@kamal_itaewon Mcm kkn desa penari laaa … okay je …. Tapi malas nk tgk … tggu ade kawan ajak baru g,positive
"2nd Finalist for Best in AR Social Media Filter Finalists is ultra realistic ""KKN di Desa Penari AR Poster"" by the amazing @MadebyHumans - we loved trying this out! #arfilters #snake #arfilter #madebyhumans #qldxrfestival https://t.co/jvZ7e7JqNj",positive
"@HANIL pasti bakalan jadi film romance terlaris di dunia ini mengalahkan larisnya KKN di Desa Penari! semua orang nangis nontonnya huhu tapi itu kita acting aja ya kan? aku gak mau kehilangan kamu secepet ini, masih pengen main bola bekel bersama. &gt;&lt;",positive
kkn desa penari yang extended version ternyata kejutannya ada di akhir film.. wow wow wow,positive
Msty plakon tuu yg berlakon kkn desa penari knn..mmg mke die utk horror movie ekk. Tlong horror indonesia buat lgi seram smpai aku rse mcm nk berhnty tgk movie.. bru la best tgk. Jump scare tuu dh biase ekk,positive
